Date	company_id	company_name	cusip8	MSCIsec	ticker
06/30/2013	B2DTQ7-S-US	Union Pacific Corp.	90781810	Industrials	UNP US
06/30/2013	X5C0VL-S-US	UNS Energy Corp.	90311910	Utilities	UNS US
06/30/2013	P8RH2F-S-US	Unit Corp.	90921810	Energy	UNT US
06/30/2013	RK7V1B-S-US	United Online Inc.	91126810	Information Technology	UNTD US
06/30/2013	KK1JZ5-S-US	Unwired Planet Inc.	91531F10	Information Technology	UPIP US
06/30/2013	R96B55-S-US	Ultra Petroleum Corp.	90391410	Energy	UPL US
06/30/2013	C6M0W9-S-US	United Parcel Service Inc.	91131210	Industrials	UPS US
06/30/2013	H7K4T4-S-US	Urban Outfitters Inc.	91704710	Consumer Discretionary	URBN US
06/30/2013	SRQ728-S-US	United Rentals Inc.	91136310	Industrials	URI US
06/30/2013	SHMBKT-S-US	URS Corp.	90323610	Industrials	URS US
06/30/2013	L0TD5V-S-US	Uranerz Energy Corp.	91688T10	Energy	URZ US
06/30/2013	WL4TT3-S-US	Universal Stainless & Alloy Products Inc.	91383710	Materials	USAP US
06/30/2013	QQ57WH-S-US	U.S. Bancorp	90297330	Financials	USB US
06/30/2013	BSZQL2-S-US	USG Corp.	90329340	Industrials	USG US
06/30/2013	J1JLVY-S-US	United States Lime & Minerals Inc.	91192210	Materials	USLM US
06/30/2013	PKZC9Q-S-US	United States Cellular Corp.	91168410	Telecommunication Services	USM US
06/30/2013	D7DSZF-S-US	USA Mobility Inc.	90341G10	Telecommunication Services	USMO US
06/30/2013	DG2MFJ-S-US	USANA Health Sciences Inc.	90328M10	Consumer Staples	USNA US
06/30/2013	D8JVVB-S-US	U.S. Physical Therapy Inc.	90337L10	Health Care	USPH US
06/30/2013	DH6N7D-S-US	United Stationers Inc.	91300410	Industrials	USTR US
06/30/2013	JMHWQY-S-US	Ultratech Inc.	90403410	Information Technology	UTEK US
06/30/2013	CW2N7W-S-US	United Therapeutics Corp.	91307C10	Health Care	UTHR US
06/30/2013	V3RBD6-S-US	Universal Technical Institute Inc.	91391510	Consumer Discretionary	UTI US
06/30/2013	G6QPDC-S-US	UTi Worldwide Inc.	G8721010	Industrials	UTIW US
06/30/2013	XGF99K-S-US	UNITIL Corp.	91325910	Utilities	UTL US
06/30/2013	H8HXL2-S-US	Utah Medical Products Inc.	91748810	Health Care	UTMD US
06/30/2013	K6TLGQ-S-US	United Technologies Corp.	91301710	Industrials	UTX US
