date	_STAT_	BIDLO	ASKHI	PRC	VOL	RET	BID	ASK	OPENPRC	RETX	vwretd	vwretx	ewretd	ewretx
20000601	MEAN	24.188520408	25.163265306	23.071747469	286162.61633	0.011104702	25.365513393	25.83328683	24.038179916	0.011104702	0.0252	0.025175	0.019422	0.01935
20000602	MEAN	24.652551061	25.63054849	24.858737265	293162.49388	0.012133849	25.818638393	26.307617188	25.442403305	0.012133849	0.029077	0.029075	0.030798	0.030783
20000605	MEAN	24.476721959	25.523724571	24.505484735	231375.26939	-0.001883539	25.394633174	25.887771739	25.13931749	-0.001883539	-0.003693	-0.003705	0.007894	0.007879
20000606	MEAN	24.601403061	25.502997469	24.374681102	236815.38367	-0.002527335	25.526686947	26.03028208	25.47112346	-0.002527335	-0.007933	-0.007943	0.00269	0.002673
20000607	MEAN	24.467155633	25.329336776	24.463966816	255231.75918	-0.000686139	25.352777778	25.850694444	25.266344142	-0.000686139	0.011117	0.011007	0.008722	0.008584
20000608	MEAN	24.303762776	25.114859714	22.88609698	277917.22041	-0.007212437	25.123888889	25.565416667	24.404484854	-0.007264233	-0.005115	-0.005142	0.001022	0.000977
20000609	MEAN	24.35427298	25.149872449	23.479910735	268011.45306	0.0063101143	24.845933406	25.292576419	25.04954594	0.0063101143	0.00103	0.001028	0.01006	0.010037
20000612	MEAN	24.286033224	25.180612245	23.87627551	248086.30204	-0.001213878	24.587422521	24.872417355	24.722575228	-0.001233343	-0.010925	-0.01094	-0.006035	-0.006064
20000613	MEAN	24.016709184	24.856887837	24.11352049	277252.90204	0.001257502	24.542920124	24.794994813	24.849921261	0.0011219592	0.014537	0.0144	0.002471	0.002238
20000614	MEAN	24.137117388	24.977487265	24.410076531	288502.65714	-0.001325669	24.401105967	24.684670782	24.612086818	-0.001396306	-0.000856	-0.0009	0.00058	0.000474
20000615	MEAN	24.085586776	24.941517878	24.34815049	285464.4449	-0.00167442	24.453446502	24.734696502	24.891148033	-0.001725608	0.004946	0.004939	-0.002758	-0.002816
20000616	MEAN	24.088647959	24.958482163	23.843176041	347787.93061	-0.003032743	24.363683128	24.628215021	24.962486835	-0.003054069	-0.006692	-0.006779	-0.001282	-0.001344
20000619	MEAN	23.902678612	24.823405633	23.873469388	353301.83673	-0.002590576	24.345686983	24.611441116	24.788274706	-0.002784731	0.016135	0.016118	0.003187	0.003141
20000620	MEAN	23.698341837	24.639732204	22.11619898	449894.87755	-0.006856898	24.109116736	24.404313017	23.720449791	-0.006918922	-0.002436	-0.002441	-0.000046	-0.000067
20000621	MEAN	23.595854612	24.483545918	23.680803592	351322.11429	-0.004702939	24.206223629	24.519251055	24.261132833	-0.004743755	0.003586	0.003574	0.003093	0.003051
20000622	MEAN	23.44744898	24.372767878	21.799872449	394233.91429	-0.012084943	24.011255297	24.300979873	23.516474979	-0.012136343	-0.018858	-0.018886	-0.006825	-0.006855
20000623	MEAN	23.274808694	24.124936245	23.318431102	291689.11837	-0.005293559	23.672463389	23.961166318	24.188090882	-0.005293559	-0.009224	-0.009227	-0.002638	-0.002651
20000626	MEAN	23.319260204	24.228443878	23.279910735	326589.6	0.005353649	23.783703512	24.043517562	23.953451925	0.005353649	0.009743	0.009736	0.003294	0.003282
20000627	MEAN	23.46505102	24.399170939	23.482653061	352362.25714	0.0035502776	24.154528602	24.455243644	24.079955607	0.0035502776	-0.005426	-0.005428	-0.002672	-0.002692
20000628	MEAN	23.562244898	24.644770408	24.068558694	374084.06531	0.0157006204	24.138245885	24.435828189	24.341657992	0.0155004857	0.007603	0.00743	0.009498	0.009074
20000629	MEAN	23.608993902	24.800685976	24.020769837	442310.47967	-0.005811322	24.530063291	24.845332278	24.38109444	-0.005820147	-0.006988	-0.006997	-0.001187	-0.001231
